author,event_id,event,start_year,end_year,place,place_modern,cause_category,route_note,severity_grade,evidence_grade,basis
柳宗元,L1,贬永州司马,805,815,永州,湖南永州,政治党争(永贞革新败),长安→襄阳→洞庭→永州,2,A,《旧唐书》本传+施子愉《柳宗元年谱》+柳集编年
柳宗元,L2,贬柳州刺史,815,819,柳州,广西柳州,政治党争(诏还后再贬),长安→江陵→洞庭→柳州,4,A,同上；卒于柳州任上
刘禹锡,M1,贬朗州司马,805,815,朗州,湖南常德,政治党争(永贞革新败),长安→襄阳→洞庭→朗州,2,A,《旧唐书》本传+陶敏《刘禹锡全集编年校注》
刘禹锡,M2,贬连州刺史,815,819,连州,广东连州,直言获罪(《元和十年赠看花诸君子》诗案),长安→江陵→连州,3,A,同上
刘禹锡,M3,出夔州刺史,820,824,夔州,重庆奉节,其他(量移后外任),连州→夔州,3,B,学界通行按贬谪后期计入
刘禹锡,M4,出和州刺史,824,826,和州,安徽和县,其他(外任末段),夔州→和州,1,B,同上
白居易,B1,贬江州司马,815,818,江州,江西九江,直言获罪(武元衡遇刺案越职言事),长安→襄阳→江州,1,A,《旧唐书》本传+白居易自编集自注系年
白居易,B2,出忠州刺史,818,820,忠州,重庆忠县,其他(量移刺史),江州→忠州,2,B,量移性质；白集自注明确
韩愈,H1,贬阳山令,803,805,阳山,广东阳山,直言获罪(论宫市/关中旱饥),长安→蓝田→阳山,3,A,《新唐书》本传+方崧卿·朱熹韩集编年
韩愈,H2,贬潮州刺史,819,820,潮州,广东潮州,直言获罪(谏迎佛骨),长安→蓝田→商山→潮州;十月量移袁州,4,A,《旧唐书》本传+钱仲联《韩昌黎诗系年集释》
苏轼,S1,贬黄州团练副使,1080,1084,黄州,湖北黄冈,直言获罪(乌台诗案),汴京→陈州→黄州,2,A,《宋史》本传+孔凡礼《苏轼年谱》+王文诰编年
苏轼,S2,惠州安置,1094,1097,惠州,广东惠州,政治党争(绍圣党祸),汴京→岭表→惠州,3,A,同上
苏轼,S3,儋州安置,1097,1100,儋州,海南儋州,政治党争(再贬海外),惠州→雷州渡海→儋州,4,A,同上
欧阳修,O1,贬夷陵县令,1036,1038,夷陵,湖北宜昌,直言获罪(为范仲淹辩、与高若讷书),汴京→夷陵,2,A,《宋史》本传+李逸安点校欧集+洪本健年谱
欧阳修,O2,知滁州,1045,1048,滁州,安徽滁州,政治党争(庆历新政败+孤甥张氏案诬),汴京→滁州,1,A,同上；1048后移扬州颍州为正常转任不计
黄庭坚,HT1,涪州别驾黔州安置,1095,1100,黔州,重庆彭水,其他(《神宗实录》史祸),汴京→江陵溯江→黔州,3,A,《宋史》文苑传+任渊《山谷内集诗注》编年
黄庭坚,HT2,戎州安置,1100,1104,戎州,四川宜宾,其他(量移),黔州→戎州,2,B,量移性质；系年据山谷外集(B级)
黄庭坚,HT3,编管宜州,1104,1105,宜州,广西宜山,直言获罪(《承天院塔记》罪),戎州→宜州;卒于贬所,4,A,《宋史》+《山谷年谱》
秦观,Q1,处州监酒税,1094,1096,处州,浙江丽水,政治党争(绍圣党祸),汴京→处州,1,A,《宋史》本传+徐培均《淮海集笺注》编年
秦观,Q2,郴州编管,1096,1098,郴州,湖南郴州,政治党争(再贬),处州→郴州,3,A,同上
秦观,Q3,横州编管,1098,1099,横州,广西横县,政治党争(三贬),郴州→横州,4,A,同上
秦观,Q4,雷州编管,1099,1100,雷州,广东雷州,政治党争(四贬),横州→雷州,4,A,同上
王禹偁,W1,贬商州团练副使,989,991,商州,陕西商县,直言获罪(妖尼道安案牵连),汴京→商州,2,A,《宋史》本传+徐规《王禹偁事迹著作编年》
王禹偁,W2,知滁州,998,999,滁州,安徽滁州,直言获罪(为徐铉辨诬),汴京→滁州,1,A,同上
王禹偁,W3,知黄州(再黜),1000,1001,黄州,湖北黄冈,其他(三黜),滁州→扬州→黄州,1,B,《三黜赋》自述+徐规编年
范仲淹,F1,知饶州,1036,1038,饶州,江西鄱阳,直言获罪(《百官图》忤吕夷简),汴京→饶州,2,A,《宋史》本传+范集编年
范仲淹,F2,出邠州→邓州,1045,1049,邠州/邓州,陕西彬县/河南邓州,其他(罢政外任,是否计贬有分歧),汴京→邠州→邓州,1,C,学界对"罢政外任"定性存分歧;显式标注
辛弃疾,X1,带湖瓢泉罢官闲居,1182,1207,上饶/铅山,江西上饶/铅山,其他(落职闲居而非贬谪),—,1,C,邓广铭《稼轩词编年笺注》;诗侧排除,词侧可另立
陆游,L1,无严格贬谪事件,,,山阴/蜀中,浙江绍兴/四川,其他(罢官退居为主),—,,C,建议剔除出贬谪组或重定义为退居对照组
