pid,Bei,Quan,Man,Ziran,Konghuan
Q001,2,0,0,1,0
Q002,0,0,0,1,1
Q003,0,0,0,1,0
Q004,2,2,0,1,1
Q005,0,0,1,2,1
Q006,0,0,1,1,1
Q007,1,0,2,1,1
Q008,0,0,0,1,0
Q009,1,0,1,1,1
Q010,1,0,0,0,1
Q011,0,0,0,1,0
Q012,0,0,0,1,1
Q013,0,0,0,1,0
Q014,1,1,1,2,0
Q015,1,0,0,2,2
Q016,0,0,0,1,0
Q017,0,0,1,2,0
Q018,0,0,1,1,0
Q019,1,0,0,1,0
Q020,0,0,0,1,0
Q021,0,0,0,0,0
Q022,2,0,0,1,0
Q023,3,1,0,1,1
Q024,0,1,1,2,1
Q025,2,1,1,1,0
Q026,0,0,0,0,1
Q027,1,0,0,1,0
Q028,1,2,1,1,0
Q029,0,0,0,1,0
Q030,1,0,0,1,2
Q031,0,0,0,0,0
Q032,1,0,0,2,0
Q033,2,1,1,2,2
Q034,1,0,0,1,1
Q035,2,0,0,2,1
Q036,1,0,0,1,2
Q037,0,0,1,1,0
Q038,0,0,0,1,0
Q039,2,0,0,1,0
Q040,1,0,1,1,2
Q041,1,0,0,2,2
Q042,1,0,0,1,0
Q043,0,0,0,0,0
Q044,1,0,2,3,0
Q045,1,0,2,2,0
Q046,0,0,0,0,0
Q047,0,0,1,2,0
Q048,2,0,0,2,2
Q049,1,0,0,0,2
Q050,1,0,0,3,0
Q051,0,0,3,2,1
Q052,1,1,2,2,1
Q053,0,0,0,0,0
Q054,0,0,0,0,0
Q055,0,0,1,1,0
Q056,1,0,1,1,1
Q057,1,2,1,2,2
Q058,2,0,0,1,1
Q059,0,1,1,2,1
Q060,1,2,2,2,1
Q061,0,0,2,1,1
Q062,2,0,0,0,2
Q063,0,0,2,2,2
Q064,0,0,1,1,0
Q065,0,0,2,3,0
Q066,0,0,1,3,1
Q067,1,2,1,1,0
Q068,2,3,0,1,0
Q069,0,0,2,2,2
Q070,1,3,0,2,0
Q071,0,0,0,0,0
Q072,0,0,1,2,1
Q073,0,0,2,3,0
Q074,2,3,0,2,0
Q075,0,0,2,2,0
Q076,0,1,2,2,0
Q077,0,0,1,2,0
Q078,1,0,0,1,1
Q079,1,0,2,3,0
Q080,0,0,0,0,0
Q081,2,0,0,2,0
Q082,1,0,1,2,0
Q083,0,0,0,0,0
Q084,1,2,0,2,1
Q085,1,0,0,2,1
Q086,0,0,0,0,0
Q087,1,0,0,1,0
Q088,2,0,1,1,1
Q089,0,1,1,1,1
Q090,1,1,1,3,0
Q091,0,1,2,2,0
Q092,0,1,1,3,0
Q093,1,0,0,2,0
Q094,0,0,1,1,0
Q095,1,0,1,1,0
Q096,0,0,2,2,0
Q097,0,0,1,0,1
Q098,0,0,3,2,0
Q099,0,1,0,1,0
Q100,2,0,1,2,1
Q101,0,0,0,1,1
Q102,2,0,0,1,2
Q103,0,1,0,3,1
Q104,1,0,0,1,1
Q105,0,0,0,0,0
Q106,1,1,0,2,2
Q107,0,0,1,1,0
Q108,2,1,0,2,1
Q109,0,0,0,0,0
Q110,0,0,2,3,0
Q111,0,0,2,2,0
Q112,2,3,0,2,1
Q113,0,0,1,2,0
Q114,0,0,2,3,0
Q115,0,0,1,2,1
Q116,1,1,0,2,2
Q117,0,0,0,1,1
Q118,2,0,0,2,2
Q119,0,0,1,1,0
Q120,0,0,3,1,0
Q121,1,0,1,2,0
Q122,0,0,3,3,0
Q123,1,1,1,3,0
Q124,0,0,2,3,0
Q125,1,1,2,2,0
Q126,1,0,1,3,0
Q127,0,0,2,2,0
Q128,3,0,0,0,2
Q129,0,0,2,2,0
Q130,0,0,0,1,0
Q131,0,0,3,1,0
Q132,1,2,1,1,0
Q133,2,0,0,1,0
Q134,1,0,0,1,1
Q135,0,0,2,2,0
Q136,1,0,2,3,0
Q137,1,0,0,3,2
Q138,0,0,2,2,0
Q139,0,0,1,1,1
Q140,1,1,0,3,0
Q141,2,0,0,1,0
Q142,0,1,2,1,0
Q143,0,0,1,2,0
Q144,1,0,0,0,0
Q145,2,0,1,1,1
Q146,0,0,0,0,1
Q147,0,0,2,2,2
Q148,1,0,1,3,2
Q149,1,0,1,2,0
