author,source_file,poem_index,poem_id,text_head,title,period,evidence_grade,basis
蘇軾,poet.song.44000.json,0,poet.song.44000.json#152,河西猛士無人識，日暮津亭,郭綸,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,1,poet.song.44000.json#153,朝發鼓闐闐，西風獵畫旃。,初發嘉州,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,2,poet.song.44000.json#154,樹林幽翠滿山谷，樓觀突兀,犍爲王氏書樓,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,3,poet.song.44000.json#155,江寒晴不知，遠見山上日。,過宜賓見夷中亂山,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,4,poet.song.44000.json#156,日落紅霧生，繫舟宿牛口。,夜泊牛口,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,5,poet.song.44000.json#157,掩窗寂已睡，月脚垂孤光。,牛口見月,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,6,poet.song.44000.json#158,亂山圍古郡，市易带群蠻。,戎州,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,7,poet.song.44000.json#159,彈琴江浦夜漏永，歛衽竊聽,舟中聽大人彈琴,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,8,poet.song.44000.json#160,江上有微徑，深榛煙雨埋。,泊南井口期任遵聖長官到晚不及見復來,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
蘇軾,poet.song.44000.json,9,poet.song.44000.json#161,天師化去知何在，玉印相傳,過安樂山聞山上木葉有文如道士篆符云此山乃張道陵所寓二首  其一,pre,A,编年序0-994=嘉祐四年出蜀(郭纶1059)至元丰二年乌台诗案前;QSS苏诗依孔凡礼点校《苏轼诗集》编年次序
