pid,Quiet,Travel,Home
R001,1,0,0
R002,0,0,0
R003,2,0,0
R004,0,0,0
R005,0,0,0
R006,0,1,3
R007,0,1,0
R008,0,2,2
R009,1,2,1
R010,3,0,0
R011,0,0,0
R012,0,0,2
R013,0,0,0
R014,0,0,0
R015,0,1,0
R016,0,0,2
R017,0,1,0
R018,1,0,0
R019,0,0,0
R020,1,2,0
R021,3,0,0
R022,1,0,0
R023,2,0,0
R024,0,0,0
R025,0,0,0
R026,0,0,0
R027,0,0,0
R028,0,0,0
R029,2,0,0
R030,0,0,0
R031,0,0,0
R032,1,0,0
R033,0,1,0
R034,3,0,0
R035,2,0,0
R036,2,0,0
R037,0,0,0
R038,1,0,0
R039,0,3,1
R040,0,0,0
R041,0,0,0
R042,2,0,0
R043,3,0,0
R044,2,0,0
R045,0,2,2
R046,0,0,1
R047,2,1,0
R048,0,0,0
R049,0,0,0
R050,0,0,1
R051,0,0,0
R052,0,2,0
R053,3,0,0
R054,0,0,0
R055,0,0,1
R056,3,0,0
R057,0,1,0
R058,2,0,0
R059,0,0,0
R060,0,1,3
R061,1,0,2
R062,3,0,0
R063,0,0,0
R064,0,3,1
R065,0,0,0
R066,0,0,0
R067,1,1,0
R068,0,0,0
R069,2,0,0
R070,0,0,0
R071,2,0,0
R072,0,1,2
R073,3,0,1
R074,0,0,0
R075,1,0,0
R076,0,1,2
R077,2,0,0
R078,0,0,0
R079,3,0,0
R080,2,0,0
R081,0,1,1
R082,3,1,0
R083,1,0,2
R084,1,0,1
R085,0,0,0
R086,0,2,3
R087,2,0,0
R088,0,2,0
R089,1,0,0
R090,0,0,0
R091,0,2,0
R092,0,0,0
R093,2,1,0
R094,0,3,3
R095,0,0,0
R096,1,2,0
R097,1,1,0
R098,1,0,3
R099,1,0,0
R100,0,1,3
R101,0,2,0
R102,0,0,0
R103,2,0,2
R104,0,0,0
R105,0,0,0
R106,2,0,1
R107,0,3,1
R108,1,0,0
R109,0,0,0
R110,0,0,0
R111,0,0,2
R112,0,2,0
R113,0,1,1
R114,1,0,0
R115,2,1,0
R116,0,0,0
R117,2,0,0
R118,0,0,0
R119,2,0,1
R120,0,0,0
R121,0,0,0
R122,1,1,0
R123,0,2,2
R124,2,0,0
R125,0,0,0
R126,0,1,3
R127,3,0,0
R128,2,0,0
R129,0,2,1
R130,2,0,0
R131,0,1,0
R132,0,0,0
R133,3,0,0
R134,0,1,3
R135,0,0,0
R136,0,0,0
R137,1,2,1
R138,0,0,0
R139,0,0,0
R140,0,3,2
R141,0,0,0
R142,3,1,0
R143,0,2,0
R144,0,3,0
R145,1,0,1
R146,0,0,0
R147,0,1,2
R148,2,1,0
R149,1,0,0
R150,1,0,0
